date,search rank,id,brand,rating,num reviews

2015-11-27,1,10403208,other,4.824,17

2015-11-27,2,25847978,Cheerios,4.826,201

2015-11-27,3,10891821,other,4.647,51

2015-11-27,4,10315424,other,4.606,71

2015-11-27,5,10311410,Cheerios,4.837,184

2015-11-27,6,10818684,Kellogg,4.862,58

2015-11-27,7,24984274,Kellogg,4.884,45

2015-11-27,8,10311409,Cheerios,4.826,201

2015-11-27,9,10891818,other,4.767,60

2015-11-27,10,10450279,other,4.415,41

2015-11-27,11,11303903,other,3.303,33

2015-11-27,12,10818613,Kellogg,4.772,123

2015-11-27,13,10311275,other,4.636,11

2015-11-27,14,10450278,other,4.75,16

2015-11-27,15,15716906,Post,0,0

2015-11-27,16,10818609,Kellogg,4.674,46

2015-11-27,17,10311280,other,4.68,25

2015-11-27,18,10315966,other,4.355,31

2015-11-27,19,10311398,other,4.735,49

2015-11-27,20,15611122,Post,5.0,21

2015-11-27,21,13399215,other,3.95,60

2015-11-27,22,10450112,other,4.6,15

2015-11-27,23,10450280,other,4.539,13

2015-11-27,24,10311273,other,4.76,25

2015-11-27,25,33886600,other,3.727,11

2015-11-27,26,15716905,Post,4.857,35

2015-11-27,27,11046710,Cheerios,4.759,29

2015-11-27,28,34201710,Cheerios,4.857,14

2015-11-27,29,10311420,other,4.667,15

2015-11-27,30,39326219,Kellogg,4.694,115

2015-11-27,31,33886601,other,4.273,11

2015-11-27,32,15716908,Post,5.0,9

2015-11-27,33,38384605,Cheerios,4.813,16

2015-11-27,34,33886599,Cheerios,4.727,44

2015-11-27,35,38498749,other,0,0

2015-11-27,36,10292151,other,4.561,41

2015-11-27,37,10411377,other,4.757,102

2015-11-27,38,15716901,other,4.783,23

2015-11-27,39,15611121,Post,4.932,44

2015-11-27,40,24984281,Kellogg,4.789,52

2015-11-27,41,10804531,other,4.706,34

2015-11-27,42,10319631,Kashi,4.286,7

2015-11-27,43,24984278,Kellogg,4.775,80

2015-11-27,44,10402735,other,4.879,33

2015-11-27,45,25875664,Kellogg,4.704,115

2015-11-27,46,25847989,Cheerios,4.375,40

2015-11-27,47,10818615,other,4.783,23

2015-11-27,48,24984277,Kellogg,4.819,94

2015-11-27,49,10450277,other,4.833,6

2015-11-27,50,47754329,other,0,0

2015-11-27,51,47713361,other,0,0

2015-11-27,52,47508860,other,0,0

2015-11-27,53,23597638,Cheerios,5.0,9

2015-11-27,54,47906629,other,0,0

2015-11-27,55,36915387,other,4.5,10

2015-11-27,56,25847977,other,4.735,34

2015-11-27,57,19514902,other,4.519,54

2015-11-27,58,19890855,Kellogg,4.704,115

2015-11-27,59,34201711,other,4.579,19

2015-11-27,60,37402338,other,4.389,18

2015-11-27,61,36901935,other,4.167,12

2015-11-27,62,25875663,Kellogg,4.767,60

2015-11-27,63,10311271,other,4.706,17

2015-11-27,64,45099803,other,0,0

2015-11-27,65,37402337,other,4.7,10

2015-11-27,66,36915386,other,5.0,1

2015-11-27,67,38227253,other,5.0,7

2015-11-27,68,21096170,Kellogg,4.952,21

2015-11-27,69,20970530,other,4.0,2

2015-11-27,70,37341974,other,4.546,11

2015-11-27,71,10813984,other,4.586,70

2015-11-27,72,23984405,other,3.667,6

2015-11-27,73,37402339,other,4.889,9

2015-11-27,74,24984273,Kellogg,4.844,32

2015-11-27,75,25847976,other,4.353,17

2015-11-27,76,24722541,Kellogg,4.759,112

2015-11-27,77,22210561,other,4.75,16

2015-11-27,78,10321405,other,4.863,51

2015-11-27,79,34201712,other,4.083,12

2015-11-27,80,34536022,other,4.186,59

2015-11-27,81,21125846,other,4.857,14

2015-11-27,82,20648084,Post,4.318,22

2015-11-27,83,21125860,other,0,0

2015-11-27,84,24984279,Kellogg,4.846,13

2015-11-27,85,34536023,other,3.91,134

2015-11-27,86,24984276,Kellogg,4.82,49

2015-11-27,87,25596741,Kellogg,4.963,27

2015-11-27,88,35044567,Post,4.692,13

2015-11-27,89,34164100,Post,4.818,44

2015-11-27,90,23984404,other,4.765,34

2015-11-27,91,32286719,other,4.438,32

2015-11-27,92,21048475,other,4.917,24

2015-11-27,93,17179326,other,4.288,59

2015-11-27,94,45099791,other,5.0,1

2015-11-27,95,19757533,Kellogg,4.71,31

2015-11-27,96,20648085,Post,4.143,7

2015-11-27,97,25847972,other,4.757,102

2015-11-27,98,32286721,other,4.273,11

2015-11-27,99,19766250,other,4.467,15

2015-11-27,100,36304314,other,0,0

2015-11-27,101,25819603,Kellogg,4.241,54

2015-11-27,102,20469703,other,4.318,22

2015-11-27,103,17179322,other,4.25,28

2015-11-27,104,26384671,Kellogg,4.8,20

2015-11-27,105,19399977,other,5.0,1

2015-11-27,106,21208469,Kashi,4.875,16

2015-11-27,107,23597945,other,4.8,10

2015-11-27,108,25875665,Kellogg,4.935,46

2015-11-27,109,10813983,other,3.667,3

2015-11-27,110,20970526,other,5.0,3

2015-11-27,111,21268939,other,4.579,19

2015-11-27,112,33426025,Cheerios,4.6,30

2015-11-27,113,17203444,other,4.6,15

2015-11-27,114,21106275,Kashi,4.0,8

2015-11-27,115,33426024,Cheerios,5.0,4

2015-11-27,116,42353809,Kellogg,4.8,35

2015-11-27,117,33886602,other,4.5,18

2015-11-27,118,44656716,Kashi,5.0,1

2015-11-27,119,21081221,other,4.304,23

2015-11-27,120,14869856,other,4.636,11

2015-11-27,121,44656717,Kellogg,0,0

2015-11-27,122,17203448,other,4.757,102

2015-11-27,123,22863013,Kashi,4.539,13

2015-11-27,124,46771745,Kellogg,0,0

2015-11-27,125,16923611,other,4.667,6

2015-11-27,126,16923604,other,4.5,14

2015-11-27,127,16923606,other,3.613,62

2015-11-27,128,16923602,other,4.462,13

2015-11-27,129,19794417,Kellogg,4.615,13

2015-11-27,130,33785035,other,4.727,11

2015-11-27,131,20976607,Kashi,4.583,12

2015-11-27,132,28468230,other,4.0,9

2015-11-27,133,19514900,other,4.75,8

2015-11-27,134,43924526,Kellogg,5.0,1

2015-11-27,135,21063109,Kellogg,4.659,44

2015-11-27,136,21476104,Kashi,4.813,16

2015-11-27,137,19757534,Kellogg,4.583,24

2015-11-27,138,10292154,other,4.696,23

2015-11-27,139,10315967,other,4.429,14

2015-11-27,140,26691074,other,4.4,10

2015-11-27,141,10313244,other,4.889,36

2015-11-27,142,44656718,Kashi,5.0,1

2015-11-27,143,21268885,Kashi,4.947,19

2015-11-27,144,24984275,Kellogg,4.758,91

2015-11-27,145,45099805,other,0,0

2015-11-27,146,34334718,other,4.909,11

2015-11-27,147,11303913,other,4.1,10

2015-11-27,148,42353810,Kellogg,4.882,17

2015-11-27,149,21125854,other,4.636,11

2015-11-27,150,24984280,Kellogg,4.643,28

2015-11-27,151,10789542,other,4.542,24

2015-11-27,152,10789543,other,4.388,49

2015-11-27,153,10311411,other,4.792,24

2015-11-27,154,22389074,other,4.8,5

2015-11-27,155,10403207,other,4.143,14

2015-11-27,156,10891816,other,4.677,31

2015-11-27,157,21125847,other,4.793,58

2015-11-27,158,10311414,other,4.757,102

2015-11-27,159,45709515,other,5.0,2

2015-11-27,160,10818617,Kellogg,4.737,19

2015-11-27,161,10292149,other,4.548,31

2015-11-27,162,10818612,other,4.806,108

2015-11-27,163,33887106,Kellogg,4.692,13

2015-11-27,164,40617013,Cheerios,4.744,39

2015-11-27,165,27617757,other,4.878,90

2015-11-27,166,11964845,other,4.25,8

2015-11-27,167,34536008,other,4.658,111

2015-11-27,168,44981920,other,5.0,4

2015-11-27,169,10294607,other,4.647,17

2015-11-27,170,20923795,other,4.7,20

2015-11-27,171,17208751,Cheerios,4.837,184

2015-11-27,172,42353807,Kellogg,4.412,17

2015-11-27,173,46534908,Kellogg,4.0,1

2015-11-27,174,45099788,other,0,0

2015-11-27,175,17193435,other,3.667,3

2015-11-27,176,41474804,other,4.563,32

2015-11-27,177,10891840,other,4.875,16

2015-11-27,178,44656729,Kellogg,4.5,2

2015-11-27,179,36348035,Cheerios,4.28,25

2015-11-27,180,36348028,Cheerios,4.636,22

2015-11-27,181,10311422,Cheerios,4.448,29

2015-11-27,182,10315423,other,4.111,18

2015-11-27,183,10402740,other,4.765,17

2015-11-27,184,14869857,other,4.765,17

2015-11-27,185,10311506,other,4.625,16

2015-11-27,186,14651639,Cheerios,4.6,30

2015-11-27,187,38354161,other,4.0,1

2015-11-27,188,10450276,other,4.9,10

2015-11-27,189,26691078,other,0,0

2015-11-27,190,42353817,Kellogg,3.889,9

2015-11-27,191,21265991,Post,4.941,17

2015-11-27,192,33886603,Cheerios,4.765,17

2015-11-27,193,39881660,Cheerios,4.75,8

2015-11-27,194,34202125,other,4.333,6

2015-11-27,195,16785102,Post,5.0,11

2015-11-27,196,22257607,Kashi,4.909,11

2015-11-27,197,20970529,other,0,0

2015-11-27,198,16785098,Post,5.0,15

2015-11-27,199,10311278,other,4.353,17

2015-11-27,200,43710628,other,0,0

2015-11-27,201,16785103,Post,5.0,2

2015-11-27,202,43710627,other,5.0,1

2015-11-27,203,19514899,other,0,0

2015-11-27,204,21633495,Kashi,0,0

2015-11-27,205,37586843,other,0,0

2015-11-27,206,16923607,other,4.625,24

2015-11-27,207,34536026,other,3.786,14

2015-11-27,208,26135216,other,4.0,1

2015-11-27,209,21467406,Cheerios,4.857,14

2015-11-27,210,32286720,Post,4.938,16

2015-11-27,211,17193617,Kashi,5.0,1

2015-11-27,212,17057014,Post,4.875,8

2015-11-27,213,10311402,other,4.417,12

2015-11-27,214,39326237,other,3.333,3

2015-11-27,215,22356624,Kellogg,4.813,251

2015-11-27,216,45912909,other,0,0

2015-11-27,217,23597944,other,4.632,19

2015-11-27,218,11964755,Kellogg,2.0,1

2015-11-27,219,36267570,other,0,0

2015-11-27,220,21063108,Kellogg,4.704,115

2015-11-27,221,16923608,other,4.8,20

2015-11-27,222,10311405,Cheerios,4.385,13

2015-11-27,223,17057016,Post,4.75,8

2015-11-27,224,16779603,Post,5.0,7

2015-11-27,225,36902154,other,0,0

2015-11-27,226,22356626,Kellogg,4.636,11

2015-11-27,227,33887105,Kellogg,4.716,102

2015-11-27,228,33628805,other,4.5,10

2015-11-27,229,17193493,other,5.0,6

2015-11-27,230,21174196,Kashi,4.059,17

2015-11-27,231,16785097,other,5.0,6

2015-11-27,232,33963466,Kellogg,4.563,16

2015-11-27,233,17196562,other,4.533,15

2015-11-27,234,46330103,other,0,0

2015-11-27,235,10311408,Cheerios,4.727,44

2015-11-27,236,33412364,Post,4.9,10

2015-11-27,237,45912908,other,0,0

2015-11-27,238,33856197,other,4.111,9

2015-11-27,239,19757536,Kellogg,4.273,11

2015-11-27,240,16923610,other,4.875,8

2015-11-27,241,17203443,other,4.909,11

2015-11-27,242,22365078,Cheerios,4.375,40

2015-11-27,243,21633494,Kashi,0,0

2015-11-27,244,42353811,Kellogg,4.857,7

2015-11-27,245,15716904,other,5.0,2

2015-11-27,246,10315964,other,4.8,10

2015-11-27,247,10813378,Cheerios,4.833,18

2015-11-27,248,10311277,Cheerios,4.826,201

2015-11-27,249,39083136,other,5.0,8

2015-11-27,250,21009168,other,4.25,12

2015-11-27,251,21096172,Kellogg,4.75,4

2015-11-27,252,10818643,other,4.722,18

2015-11-27,253,22210562,other,5.0,2

2015-11-27,254,36405020,other,5.0,1

2015-11-27,255,19890854,other,4.872,86

2015-11-27,256,25875660,Kellogg,4.712,73

2015-11-27,257,17196564,other,5.0,1

2015-11-27,258,20970524,other,4.4,10

2015-11-27,259,39083137,other,5.0,4

2015-11-27,260,34188831,Post,4.727,11

2015-11-27,261,19757535,Kellogg,4.6,5

2015-11-27,262,26691080,other,4.556,9

2015-11-27,263,21125844,other,4.735,34

2015-11-27,264,10898865,Kellogg,4.909,11

2015-11-27,265,22572887,other,3.667,3

2015-11-27,266,10292162,other,4.737,19

2015-11-27,267,10311404,other,4.706,17

2015-11-27,268,17196541,other,0,0

2015-11-27,269,10402734,other,4.25,8

2015-11-27,270,22388956,other,4.8,5

2015-11-27,271,10818679,other,4.462,13

2015-11-27,272,15686364,Cheerios,3.667,3

2015-11-27,273,10311403,other,4.765,34

2015-11-27,274,25875654,Kellogg,4.571,7

2015-11-27,275,21009169,Kellogg,4.929,14

2015-11-27,276,46534808,Kellogg,0,0

2015-11-27,277,17196563,other,4.8,5

2015-11-27,278,25847983,other,4.083,12

2015-11-27,279,36365088,other,0,0

2015-11-27,280,22356628,Kellogg,4.3,10

2015-11-27,281,35044566,Post,4.667,6

2015-11-27,282,41474803,Cheerios,4.405,37

2015-11-27,283,10311415,other,4.654,26

2015-11-27,284,10311276,other,5.0,3

2015-11-27,285,43937716,other,0,0

2015-11-27,286,10813379,other,4.875,16

2015-11-27,287,17196493,other,3.75,4

2015-11-27,288,39326238,other,0,0

2015-11-27,289,20970528,other,0,0

2015-11-27,290,33665090,other,0,0

2015-11-27,291,45863570,Kellogg,0,0

2015-11-27,292,17196559,other,0,0

2015-11-27,293,17196593,other,5.0,2

2015-11-27,294,31222371,other,5.0,1

2015-11-27,295,46161566,other,0,0

2015-11-27,296,10891815,other,4.677,31

2015-11-27,297,44656710,Kellogg,0,0

2015-11-27,298,44656713,Kellogg,0,0

2015-11-27,299,44656711,Kellogg,0,0

2015-11-27,300,39326239,other,4.5,2

2015-11-27,301,44002692,Post,5.0,3

2015-11-27,302,31219557,other,4.0,3

2015-11-27,303,10311279,other,4.706,17

2015-11-27,304,15686398,other,5.0,1

2015-11-27,305,29474088,other,4.0,1

2015-11-27,306,44656728,Kellogg,0,0

2015-11-27,307,46064310,other,4.75,4

2015-11-27,308,26691075,other,5.0,4

2015-11-27,309,43852064,other,5.0,2

2015-11-27,310,17193432,other,0,0

2015-11-27,311,16779604,Post,5.0,7

2015-11-27,312,44656712,Kellogg,0,0

2015-11-27,313,10311274,other,4.579,19

2015-11-27,314,10891820,other,4.647,51

2015-11-27,315,44014060,other,0,0

2015-11-27,316,10818682,other,4.647,51

2015-11-27,317,17196545,other,0,0

2015-11-27,318,43710630,other,0,0

2015-11-27,319,46161565,other,0,0

2015-11-27,320,29473278,other,5.0,2

2015-11-27,321,22389064,other,5.0,1

2015-11-27,322,26691079,other,0,0

2015-11-27,323,17196522,other,0,0

2015-11-27,324,46161567,other,0,0

2015-11-27,325,27617750,other,5.0,1

2015-11-27,326,17193476,other,0,0

2015-11-27,327,16785106,Post,5.0,2

2015-11-27,328,29473282,other,0,0

2015-11-27,329,43710629,other,5.0,2

2015-11-27,330,10311397,other,4.579,19

2015-11-27,331,45791905,other,0,0

2015-11-27,332,19794416,Kellogg,4.667,9

2015-11-27,333,43343112,Kellogg,3.0,1

2015-11-27,334,26691076,other,0,0

2015-11-27,335,43924539,Kashi,0,0

2015-11-27,336,42353818,Kellogg,4.0,4

2015-11-27,337,10818680,other,4.677,31

2015-11-27,338,17196503,other,5.0,1

2015-11-27,339,29473272,other,5.0,1

2015-11-27,340,17193564,other,5.0,1

2015-11-27,341,43710626,other,0,0

2015-11-27,342,28644588,Kashi,0,0

2015-11-27,343,39326180,other,3.667,3

2015-11-27,344,34334711,other,4.5,2

2015-11-27,345,15686395,other,1.0,1

2015-11-27,346,37341973,Cheerios,5.0,10

2015-11-27,347,24491586,other,4.0,2

2015-11-27,348,44656720,Kellogg,0,0

2015-11-27,349,26691081,other,5.0,1

2015-11-27,350,44110543,Kellogg,0,0

2015-11-27,351,42864589,Post,0,0

2015-11-27,352,42864588,Post,3.667,3

2015-11-27,353,46064311,other,0,0

2015-11-27,354,35824692,other,4.444,9

2015-11-27,355,43924743,Kellogg,0,0

2015-11-27,356,29473269,other,0,0

2015-11-27,357,10313216,other,4.714,7

2015-11-27,358,43924533,Kellogg,0,0

2015-11-27,359,10311413,other,4.765,34

2015-11-27,360,35501167,Kashi,0,0

2015-11-27,361,43924504,Kellogg,0,0

2015-11-27,362,10311416,other,4.625,16

2015-11-27,363,44897623,other,0,0

2015-11-27,364,15686367,other,5.0,1

2015-11-27,365,17193433,Kashi,0,0

2015-11-27,366,43924746,Kellogg,0,0

2015-11-27,367,46175186,other,0,0

2015-11-27,368,44013961,other,0,0

2015-11-27,369,17193561,other,0,0

2015-11-27,370,38364395,Cheerios,0,0

2015-11-27,371,47335466,other,0,0

2015-11-27,372,17193654,other,0,0

2015-11-27,373,44013962,other,0,0

2015-11-27,374,46265205,Kashi,0,0

2015-11-27,375,22356629,other,4.667,84

2015-11-27,376,43924528,Kellogg,0,0

2015-11-27,377,17193557,other,0,0

2015-11-27,378,46064312,other,0,0

2015-11-27,379,46175192,other,0,0

2015-11-27,380,43924551,Kellogg,0,0

2015-11-27,381,47335458,other,0,0

2015-11-27,382,43924534,Kellogg,0,0

2015-11-27,383,27617752,other,5.0,5

2015-11-27,384,43924527,Kellogg,0,0

2015-11-27,385,43924538,Kellogg,0,0

2015-11-27,386,19399978,other,5.0,3

2015-11-27,387,17196526,other,4.333,3

2015-11-27,388,38458541,other,0,0

2015-11-27,389,39326203,other,5.0,1

2015-11-27,390,10818681,other,4.767,60

2015-11-27,391,34296591,Kashi,0,0

2015-11-27,392,36309669,other,0,0

2015-11-27,393,34294844,other,0,0

2015-11-27,394,33964730,Kashi,0,0

2015-11-27,395,36303616,other,0,0

2015-11-27,396,37181768,other,0,0

2015-11-27,397,17283407,Kellogg,0,0

2015-11-27,398,17196504,other,0,0

2015-11-27,399,21090369,other,5.0,3

2015-11-27,400,17196505,other,0,0

2015-11-27,401,19890856,Kellogg,4.8,5

2015-11-27,402,17196506,other,0,0

2015-11-27,403,43924529,Kellogg,0,0

2015-11-27,404,17196498,other,0,0

2015-11-27,405,29473277,other,0,0

2015-11-27,406,17196496,other,3.0,2

2015-11-27,407,28645922,other,0,0

2015-11-27,408,38458536,other,0,0

2015-11-27,409,17196502,other,0,0

2015-11-27,410,17193473,other,0,0

2015-11-27,411,21125842,other,4.793,58

2015-11-27,412,44013975,other,0,0

2015-11-27,413,29474087,other,0,0

2015-11-27,414,41474802,other,0,0

2015-11-27,415,44014444,other,0,0

2015-11-27,416,29474089,other,0,0

2015-11-27,417,33665135,other,0,0

2015-11-27,418,36348857,other,0,0

2015-11-27,419,17193613,other,0,0

2015-11-27,420,36527904,other,0,0

2015-11-27,421,17193553,other,0,0

2015-11-27,422,29473266,other,5.0,1

2015-11-27,423,17196499,other,0,0

2015-11-27,424,31219558,other,0,0

2015-11-27,425,22389171,other,4.5,2

2015-11-27,426,17193563,other,5.0,1

2015-11-27,427,21978523,other,4.438,89

2015-11-27,428,29473273,other,0,0

2015-11-27,429,39326233,other,0,0

2015-11-27,430,33665089,other,0,0

2015-11-27,431,17193497,other,0,0

